tier,endpoint,rep,latency_s,http_code
small,api/health,25,0.001947,200
small,api/health,26,0.001965,200
small,api/health,27,0.001973,200
small,api/health,28,0.002078,200
small,api/health,29,0.001950,200
small,api/health,30,0.002006,200
small,api/products,1,0.024863,200
small,api/products,2,0.005307,200
small,api/products,3,0.025410,200
small,api/products,4,0.005402,200
small,api/products,5,0.005276,200
small,api/products,6,0.005434,200
small,api/products,7,0.005385,200
small,api/products,8,0.005176,200
small,api/products,9,0.005184,200
small,api/products,10,0.005293,200
small,api/products,11,0.005245,200
small,api/products,12,0.005198,200
small,api/products,13,0.005408,200
small,api/products,14,0.005147,200
small,api/products,15,0.005273,200
small,api/products,16,0.005332,200
small,api/products,17,0.005257,200
small,api/products,18,0.005161,200
small,api/products,19,0.005172,200
small,api/products,20,0.005239,200
small,api/products,21,0.005186,200
small,api/products,22,0.005277,200
small,api/products,23,0.005243,200
small,api/products,24,0.005215,200
small,api/products,25,0.005320,200
small,api/products,26,0.005241,200
small,api/products,27,0.005356,200
small,api/products,28,0.005397,200
small,api/products,29,0.005265,200
small,api/products,30,0.005416,200
small,api/checkout,1,1.556149,200
small,api/checkout,2,0.584689,200
small,api/checkout,3,0.577149,200
small,api/checkout,4,0.577743,200
small,api/checkout,5,0.581837,200
small,api/checkout,6,0.579248,200
small,api/checkout,7,0.648415,200
small,api/checkout,8,0.580111,200
small,api/checkout,9,0.577273,200
small,api/checkout,10,0.578694,200
small,api/checkout,11,0.578351,200
small,api/checkout,12,0.579308,200
small,api/checkout,13,0.577756,200
small,api/checkout,14,0.578232,200
small,api/checkout,15,0.579182,200
small,api/checkout,16,0.579385,200
small,api/checkout,17,0.576443,200
small,api/checkout,18,0.579471,200
small,api/checkout,19,0.577994,200
small,api/checkout,20,0.578422,200
small,api/checkout,21,0.576527,200
small,api/checkout,22,0.579207,200
small,api/checkout,23,0.579156,200
small,api/checkout,24,0.580466,200
small,api/checkout,25,0.576352,200
small,api/checkout,26,0.579598,200
small,api/checkout,27,0.576961,200
small,api/checkout,28,0.578789,200
small,api/checkout,29,0.575702,200
small,api/checkout,30,0.580044,200
medium,api/ping,1,0.006595,200
medium,api/ping,2,0.002391,200
medium,api/ping,3,0.002011,200
medium,api/ping,4,0.001985,200
medium,api/ping,5,0.002000,200
medium,api/ping,6,0.002172,200
medium,api/ping,7,0.001995,200
medium,api/ping,8,0.002000,200
medium,api/ping,9,0.002072,200
medium,api/ping,10,0.002015,200
medium,api/ping,11,0.002006,200
medium,api/ping,12,0.002054,200
medium,api/ping,13,0.002511,200
medium,api/ping,14,0.002110,200
medium,api/ping,15,0.001942,200
medium,api/ping,16,0.001954,200
medium,api/ping,17,0.002026,200
medium,api/ping,18,0.002095,200
medium,api/ping,19,0.002033,200
medium,api/ping,20,0.001975,200
medium,api/ping,21,0.001987,200
medium,api/ping,22,0.001975,200
medium,api/ping,23,0.002072,200
medium,api/ping,24,0.002068,200
medium,api/ping,25,0.001983,200
medium,api/ping,26,0.001989,200
medium,api/ping,27,0.001998,200
medium,api/ping,28,0.002011,200
medium,api/ping,29,0.002005,200
medium,api/ping,30,0.001948,200
medium,api/health,1,0.001976,200
medium,api/health,2,0.001992,200
medium,api/health,3,0.001951,200
medium,api/health,4,0.001984,200
medium,api/health,5,0.001982,200
medium,api/health,6,0.002095,200
medium,api/health,7,0.002074,200
medium,api/health,8,0.001974,200
medium,api/health,9,0.001983,200
medium,api/health,10,0.001974,200
medium,api/health,11,0.001949,200
medium,api/health,12,0.002068,200
medium,api/health,13,0.002044,200
medium,api/health,14,0.001991,200
medium,api/health,15,0.001960,200
medium,api/health,16,0.002201,200
medium,api/health,17,0.001960,200
medium,api/health,18,0.002111,200
medium,api/health,19,0.002096,200
medium,api/health,20,0.001982,200
medium,api/health,21,0.001979,200
medium,api/health,22,0.001927,200
medium,api/health,23,0.001977,200
medium,api/health,24,0.003007,200
medium,api/health,25,0.002088,200
medium,api/health,26,0.001905,200
medium,api/health,27,0.001955,200
medium,api/health,28,0.001968,200
medium,api/health,29,0.001971,200
medium,api/health,30,0.001974,200
medium,api/products,1,0.019598,200
medium,api/products,2,0.005231,200
medium,api/products,3,0.005226,200
medium,api/products,4,0.005360,200
medium,api/products,5,0.005332,200
medium,api/products,6,0.005319,200
medium,api/products,7,0.005265,200
medium,api/products,8,0.005226,200
medium,api/products,9,0.005199,200
medium,api/products,10,0.005450,200
medium,api/products,11,0.005450,200
medium,api/products,12,0.005269,200
medium,api/products,13,0.005319,200
medium,api/products,14,0.005161,200
medium,api/products,15,0.005285,200
medium,api/products,16,0.005350,200
medium,api/products,17,0.005477,200
medium,api/products,18,0.005304,200
medium,api/products,19,0.005196,200
medium,api/products,20,0.005198,200
medium,api/products,21,0.005273,200
medium,api/products,22,0.005249,200
medium,api/products,23,0.005336,200
medium,api/products,24,0.005218,200
medium,api/products,25,0.005206,200
medium,api/products,26,0.005307,200
medium,api/products,27,0.005392,200
medium,api/products,28,0.006767,200
medium,api/products,29,0.005459,200
medium,api/products,30,0.007382,200
medium,api/checkout,1,0.522032,200
medium,api/checkout,2,0.282677,200
medium,api/checkout,3,0.277503,200
medium,api/checkout,4,0.277024,200
medium,api/checkout,5,0.279985,200
medium,api/checkout,6,0.277432,200
medium,api/checkout,7,0.278939,200
medium,api/checkout,8,0.280079,200
medium,api/checkout,9,0.275275,200
medium,api/checkout,10,0.280119,200
medium,api/checkout,11,0.277167,200
medium,api/checkout,12,0.278449,200
medium,api/checkout,13,0.277421,200
medium,api/checkout,14,0.280313,200
medium,api/checkout,15,0.277637,200
medium,api/checkout,16,0.280033,200
medium,api/checkout,17,0.278256,200
medium,api/checkout,18,0.278750,200
medium,api/checkout,19,0.300280,200
medium,api/checkout,20,0.280573,200
medium,api/checkout,21,0.274442,200
medium,api/checkout,22,0.286768,200
medium,api/checkout,23,0.277291,200
medium,api/checkout,24,0.277072,200
medium,api/checkout,25,0.278778,200
medium,api/checkout,26,0.293620,200
medium,api/checkout,27,0.279171,200
medium,api/checkout,28,0.277978,200
medium,api/checkout,29,0.280080,200
medium,api/checkout,30,0.272874,200
large,api/ping,1,0.006449,200
large,api/ping,2,0.002330,200
large,api/ping,3,0.001972,200
large,api/ping,4,0.002122,200
large,api/ping,5,0.002036,200
large,api/ping,6,0.001971,200
large,api/ping,7,0.002051,200
large,api/ping,8,0.001982,200
large,api/ping,9,0.001969,200
large,api/ping,10,0.001877,200
large,api/ping,11,0.001963,200
large,api/ping,12,0.002070,200
large,api/ping,13,0.002102,200
large,api/ping,14,0.001994,200
large,api/ping,15,0.001972,200
large,api/ping,16,0.002000,200
large,api/ping,17,0.002133,200
large,api/ping,18,0.002069,200
large,api/ping,19,0.001953,200
large,api/ping,20,0.001937,200
large,api/ping,21,0.002003,200
large,api/ping,22,0.001999,200
large,api/ping,23,0.001968,200
large,api/ping,24,0.002060,200
large,api/ping,25,0.001938,200
large,api/ping,26,0.001973,200
large,api/ping,27,0.002057,200
large,api/ping,28,0.001969,200
large,api/ping,29,0.001986,200
large,api/ping,30,0.002066,200
large,api/health,1,0.002166,200
large,api/health,2,0.002161,200
large,api/health,3,0.002085,200
large,api/health,4,0.001984,200
large,api/health,5,0.001938,200
large,api/health,6,0.001949,200
large,api/health,7,0.002081,200
large,api/health,8,0.001956,200
large,api/health,9,0.001946,200
large,api/health,10,0.001963,200
large,api/health,11,0.001917,200
large,api/health,12,0.002007,200
large,api/health,13,0.001968,200
large,api/health,14,0.001967,200
large,api/health,15,0.001938,200
large,api/health,16,0.001952,200
large,api/health,17,0.001993,200
large,api/health,18,0.002136,200
large,api/health,19,0.002033,200
large,api/health,20,0.001925,200
large,api/health,21,0.001972,200
large,api/health,22,0.001975,200
large,api/health,23,0.002345,200
large,api/health,24,0.002072,200
large,api/health,25,0.001983,200
large,api/health,26,0.002068,200
large,api/health,27,0.001961,200
large,api/health,28,0.001995,200
large,api/health,29,0.002080,200
large,api/health,30,0.002033,200
large,api/products,1,0.024180,200
large,api/products,2,0.005343,200
large,api/products,3,0.005283,200
large,api/products,4,0.005215,200
large,api/products,5,0.005648,200
large,api/products,6,0.005220,200
large,api/products,7,0.005139,200
large,api/products,8,0.005138,200
large,api/products,9,0.005175,200
large,api/products,10,0.005217,200
large,api/products,11,0.005151,200
large,api/products,12,0.005147,200
large,api/products,13,0.005135,200
large,api/products,14,0.005206,200
large,api/products,15,0.005142,200
large,api/products,16,0.005167,200
large,api/products,17,0.005200,200
large,api/products,18,0.005152,200
large,api/products,19,0.005470,200
large,api/products,20,0.005196,200
large,api/products,21,0.005324,200
large,api/products,22,0.005264,200
large,api/products,23,0.005252,200
large,api/products,24,0.005186,200
large,api/products,25,0.005153,200
large,api/products,26,0.005178,200
large,api/products,27,0.005310,200
large,api/products,28,0.005274,200
large,api/products,29,0.005147,200
large,api/products,30,0.005858,200
large,api/checkout,1,0.157308,200
large,api/checkout,2,0.157923,200
large,api/checkout,3,0.156612,200
large,api/checkout,4,0.156894,200
large,api/checkout,5,0.160379,200
large,api/checkout,6,0.156816,200
large,api/checkout,7,0.157039,200
large,api/checkout,8,0.157942,200
large,api/checkout,9,0.156085,200
large,api/checkout,10,0.160516,200
large,api/checkout,11,0.156539,200
large,api/checkout,12,0.157532,200
large,api/checkout,13,0.156570,200
large,api/checkout,14,0.153052,200
large,api/checkout,15,0.156223,200
large,api/checkout,16,0.156390,200
large,api/checkout,17,0.152749,200
large,api/checkout,18,0.154375,200
large,api/checkout,19,0.153898,200
large,api/checkout,20,0.158241,200
large,api/checkout,21,0.156834,200
large,api/checkout,22,0.153242,200
large,api/checkout,23,0.151630,200
large,api/checkout,24,0.156837,200
large,api/checkout,25,0.157599,200
large,api/checkout,26,0.157759,200
large,api/checkout,27,0.156241,200
large,api/checkout,28,0.157019,200
large,api/checkout,29,0.156951,200
large,api/checkout,30,0.156518,200
